llave_cod_cliente,admin_antiguedad_banco,admin_flag_gerenciado,buro_creditos_otros_bancos,buro_score_apc,buro_wallet_share,comp_flag_atm,comp_flag_bpi,comp_flag_cnb,comp_flag_pos,comp_flag_suc,comp_perc_atm,comp_perc_canal_fisico,comp_perc_cnb,comp_perc_bpi,comp_perc_pos,comp_perc_suc,comp_score_digital,comp_txn_atm,comp_txn_bpi,comp_txn_cnb,comp_txn_pos,comp_txn_suc,comp_usd_atm_prom,comp_usd_bpi_prom,comp_usd_cnb_prom,comp_usd_pos_prom,comp_usd_suc_prom,dem_edad,dem_planilla,finc_bal_act,finc_bal_pas,finc_perc_act_tc,finc_perc_pas_tc,finc_sva,finc_tamano_comercial,pdcto_flag_auto,pdcto_flag_cta_ahorro,pdcto_flag_cta_corriente,pdcto_flag_cta_dpf,pdcto_flag_financomer,pdcto_flag_garantizado,pdcto_flag_hipoteca,pdcto_flag_pp,pdcto_flag_seguros,pdcto_flag_tiene_tdc,pdcto_flag_tiene_tdd,pdcto_ivc_actual
152365,20,0,0,589,0,1,0,0,1,1,0.26,0,0,0,0.71,0.04,0,135,0,0,369,19,1145,0,0,1765.000833,1341.583333,55,0,0,301.9,0,1,6.443408,301.9,0,1,0,0,0,0,0,0,0,0,0,1
152408,20,0,1,508,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,3781.52,0,1,0,10.692096,3781.52,0,1,0,0,0,0,0,1,0,0,0,2
152438,20,0,1,567,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,1726.2135,17.4365,0.99,0.01,18.80163,1743.65,0,1,1,0,0,0,0,0,1,1,0,3
152676,20,0,1,769,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,42.991666,49,0,0,2450.39,0,1,4.079103,2450.39,0,1,1,0,0,0,0,0,0,0,1,2
152834,20,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,652.333333,64,0,47516.35,0,1,0,12.348214,47516.35,0,0,0,0,0,0,1,0,0,0,0,1
152884,20,0,0,577,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,150,53,0,0,0.16,0,1,1.303705,0.16,0,1,0,0,0,0,0,0,0,0,0,1
153353,20,0,1,524,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,28340.79,0,1,0,10.692096,28340.79,0,0,0,0,1,0,0,1,0,0,0,2
153457,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,100,38,0,0,411.01,0,1,1.303705,411.01,0,1,0,0,0,0,0,0,0,0,0,1
153474,20,0,1,633,0,1,0,0,1,1,0.63,0,0,0,0.35,0.01,0,50,0,0,28,1,715.833333,0,0,68.685833,19.166666,48,0,0,391.76,0,1,2.152527,391.76,0,1,0,0,0,0,0,0,0,0,1,1
153492,20,0,1,728,0,1,0,0,1,1,0.09,0,0,0,0.9,0,0,54,0,0,530,2,472.916666,0,0,1054.563333,58.859166,48,1,0,58.11,0,1,2.152527,58.11,0,1,0,0,0,0,0,0,0,0,1,1
